代 码,转债名称,现 价,涨跌幅,正股名称,正股价,正股 涨跌,正股 PB,转股价,转股 价值,转股 溢价率,纯债 价值,债底 溢价率,债券 评级,期权 价值,正股 波动率,回售 触发价,强赎 触发价,转债 占比,资产 负债率,基金 持仓,到期时间,剩余 年限,剩余规模 (亿元),成交额 (万元),换手率,到期 税前收益,回售 收益,双低,操作
404004,汇车退债,26.353,-3.30%,汇车5,0.20,0.00%,0.04,0.37**,54.05,-51.25%,会员,-,AA-,增强,会员,0.26,0.48,166.0%,-,会员,26-08-18,1.53年,27.543,282.48,0.39%,161.70%,增强,-24.90,
123228,震裕转债 !,225.500,3.44%,震裕科技 R,124.30,3.59%,5.44,54.54*,227.91,-1.06%,会员,-,AA-,增强,会员,38.18,70.90,3.70%,-,会员,29-10-20,4.71年,3.844,341450.08,395.13%,-12.76%,增强,224.44,
127032,苏行转债 !,124.280,-2.87%,苏州银行 R,7.70,-2.90%,0.64,6.19,124.39,-0.09%,会员,-,AAA,增强,会员,-,8.05,5.40%,-,会员,27-04-12,-,17.179,25366.60,11.81%,-,增强,124.19,
127033,中装转2,73.500,0.28%,ST中装,3.78,-0.53%,1.36,5.14*,73.54,-0.06%,会员,-,BB,增强,会员,3.60,6.68,51.10%,-,会员,27-04-16,2.19年,10.528,12538.66,16.20%,23.42%,增强,73.44,
113044,Z大秦转 !,113.601,-2.57%,大秦铁路 R,6.49,-2.41%,0.83,5.71,113.66,-0.05%,会员,-,AAA,增强,会员,4.00,6.86,0.30%,-,会员,26-12-14,-,4.096,17286.83,36.79%,-,增强,113.55,
113021,中信转债 !,117.325,-1.26%,中信银行 R,6.55,-1.36%,0.44,5.59,117.17,0.13%,会员,-,AAA,增强,会员,-,7.27,2.00%,-,会员,25-03-04,27天,52.400,22557.05,3.66%,-75.72%,增强,117.46,
123127,耐普转债,151.020,0.15%,耐普矿机,25.99,0.46%,2.74,17.24,150.75,0.18%,会员,-,A+,增强,会员,12.07,22.41,7.20%,-,会员,27-10-29,2.73年,1.848,5704.63,20.38%,-9.94%,增强,151.20,
113050,南银转债,129.081,-0.46%,南京银行 R,10.59,-0.94%,0.65,8.22,128.83,0.19%,会员,-,AAA,增强,会员,-,10.69,10.00%,-,会员,27-06-15,2.36年,104.876,17081.29,1.26%,-6.70%,增强,129.27,
123187,超达转债,138.330,0.91%,超达装备 R,43.88,1.48%,2.66,31.81,137.94,0.28%,会员,-,A,增强,会员,22.27,41.35,9.80%,-,会员,29-04-04,4.16年,3.152,12914.88,29.68%,-3.29%,增强,138.61,
110079,杭银转债,129.103,-0.62%,杭州银行 R,14.58,-1.22%,0.67,11.35*,128.46,0.50%,会员,-,AAA,增强,会员,-,14.76,16.70%,-,会员,27-03-29,2.14年,135.330,20834.81,1.19%,-6.92%,增强,129.60,
113546,迪贝转债 !,133.109,0.00%,迪贝电气,15.58,0.39%,2.42,11.93*,130.60,1.92%,会员,-,A+,增强,会员,8.35,15.51,4.90%,-,会员,25-10-23,-,1.078,18140.13,126.64%,-,增强,135.03,
113061,拓普转债,144.231,2.85%,拓普集团 R,67.94,3.46%,6.09,48.06,141.37,2.03%,会员,-,AA+,增强,会员,33.64,62.48,2.20%,-,会员,28-07-14,3.44年,24.995,69043.97,19.18%,-6.74%,增强,146.26,
123249,英搏转债,171.200,7.11%,英搏尔 R,29.00,9.27%,3.89,17.46,166.09,3.07%,会员,-,AA,增强,会员,12.22,22.70,16.00%,-,会员,30-10-24,5.72年,8.172,43647.32,32.08%,-6.81%,增强,174.27,
113684,湘泵转债 !,161.192,4.91%,湘油泵 R,25.89,7.03%,3.01,16.59,156.06,3.29%,会员,-,AA-,增强,会员,11.61,21.57,6.60%,-,会员,30-04-01,5.15年,3.766,37281.98,62.21%,-5.98%,增强,164.48,
111012,福新转债 !,272.021,5.16%,福莱新材,35.33,5.65%,5.25,13.46,262.48,3.63%,会员,-,A+,增强,会员,9.42,17.50,3.00%,-,会员,29-01-04,3.92年,2.011,277013.95,512.69%,-19.08%,增强,275.65,
123241,欧通转债,257.480,-7.14%,欧陆通 R,110.21,-9.17%,5.45,44.56,247.33,4.10%,会员,-,AA-,增强,会员,31.19,57.93,5.40%,-,会员,30-07-05,5.41年,6.063,122662.69,78.64%,-13.89%,增强,261.58,
